mensagem,categoria,termos_ofensivos
Esse cara e um safado,insulto,safado
"Puts, que droga, o carro nao quis ligar hoje",palavrao,droga
"Puts, que inferno, chegou atrasado de novo",palavrao,inferno
O cafe da padaria esta excelente aqui perto,normal,
"Merda, isso doeu pra caramba",palavrao,merda
Capeta... o carro nao quis ligar hoje,palavrao,capeta
Capeta... o wifi cortou no meio da call,palavrao,capeta
Para de ser tao safada,insulto,safada
Caralho... a internet caiu de novo,palavrao,caralho
Foda-se... o onibus passou direto sem parar,palavrao,foda-se
"Voce e muito 0t4rio, sabia?",insulto,0t4rio
Voce e uma n0j3nt4,insulto,n0j3nt4
"Que caralho, isso doeu pra caramba",palavrao,caralho
"Ontem percebi que o bolo de chocolate esta delicioso, fizemos no fim de semana",normal,
Esse cara e um arrombado,insulto,arrombado
"Que praga, furou o pneu no meio do caminho",palavrao,praga
Vou fazer voce engolir cada palavra que disse,ameaca,
"Essa semana, o pao da padaria nova esta excelente",normal,
Praga... o voo foi cancelado em cima da hora,palavrao,praga
"Que inferno, furou o pneu no meio do caminho",palavrao,inferno
Para de ser tao 1mb3cil,insulto,1mb3cil
Cacete... furou o pneu no meio do caminho,palavrao,cacete
"Pra falar a verdade, a prova de sexta esta exigindo bastante estudo",normal,
"Puts, que bosta, perdi o onibus de novo",palavrao,bosta
Voce e uma escrota,insulto,escrota
"Sinceramente, a serie nova esta assistida no fim de semana",normal,
"P0rr4, esqueci a senha do sistema",palavrao,p0rr4
"Pra falar a verdade, o show de ontem esta incrivel, muita energia",normal,
"Pra falar a verdade, a palestra de tecnologia esta otima, aprendi bastante",normal,
"Sinceramente, o evento da faculdade esta muito bem organizado",normal,
"Essa semana, a palestra de tecnologia esta otima, aprendi bastante",normal,
"Droga, acabou a bateria do celular",palavrao,droga
Para de ser tao escoria,insulto,escoria
O jogo de ontem esta bem disputado,normal,
"A reuniao esta produtiva, definimos tudo",normal,
"Que pessoa imbecil, nao acredito",insulto,imbecil
Peste... o wifi cortou no meio da call,palavrao,peste
"Pra falar a verdade, o grupo de estudos esta rendendo bastante",normal,
Ontem percebi que a caminhada de manha esta otima pra comecar o dia,normal,
Voce e um 0t4r10,insulto,0t4r10
"Sinceramente, as notas da faculdade esta liberadas semana que vem",normal,
"Voce e muito ridicula, sabia?",insulto,ridicula
Para de ser tao arrombada,insulto,arrombada
Voce nao serve pra nada mesmo,insulto,
"Essa semana, a internet de casa esta bem mais rapida agora",normal,
"Que inferno, a impressora emperrou de novo",palavrao,inferno
"Que pessoa covarde, nao acredito",insulto,covarde
Vou acabar com sua paz de uma vez por todas,ameaca,
"Pra falar a verdade, a consulta medica esta marcada pra semana que vem",normal,
"Essa semana, a decoracao de fim de ano esta deixando a cidade bonita",normal,
"Pra falar a verdade, o dia hoje esta tranquilo, sem novidades",normal,
Vou fazer questao de te ver sofrer,ameaca,
Vou acabar com o seu sossego de vez,ameaca,
Voce vai entender o que e medo de verdade,ameaca,
"Voce e muito canalha, sabia?",insulto,canalha
Vou aparecer na sua casa e voce vai ver so,ameaca,
"Que praga, derramei cafe no teclado",palavrao,praga
Voce so faz merda desde que entrou aqui,insulto,
Ela e uma d3$gr4(4d4 completa,insulto,d3$gr4(4d4
"No fim das contas, as aulas de violao esta comecando esse ano",normal,
O concerto de ontem esta emocionante,normal,
"Que maldito, o voo foi cancelado em cima da hora",palavrao,maldito
Voce e uma 4rr0mbada,insulto,4rr0mbada
So pode ser patetico pra fazer isso,insulto,patetico
Inferno... esqueci o carregador em casa,palavrao,inferno
"Peste, travou o computador de novo",palavrao,peste
So pode ser ridicula pra fazer isso,insulto,ridicula
"Puts, que inferno, furou o pneu no meio do caminho",palavrao,inferno
"Porra, o onibus passou direto sem parar",palavrao,porra
Voce e uma nojenta,insulto,nojenta
"Capeta, perdi o prazo da entrega",palavrao,capeta
"Voce e muito escrota, sabia?",insulto,escrota
"Que pessoa infeliz, nao acredito",insulto,infeliz
"Que peste, derramei cafe no teclado",palavrao,peste
O curso online esta bem interessante,normal,
"Que cacete, choveu bem na hora que eu ia sair",palavrao,cacete
"No fim das contas, a viagem de feriado esta planejada pra visitar a familia",normal,
Ninguem aguenta voce,insulto,
Voce vai desejar nao ter mexido comigo,ameaca,
"Puts, que cacete, chegou atrasado de novo",palavrao,cacete
Inferno... furou o pneu no meio do caminho,palavrao,inferno
A exposicao no museu esta fascinante,normal,
"Pra falar a verdade, a trilha do fim de semana esta incrivel",normal,
"M4ld1to, furou o pneu no meio do caminho",palavrao,m4ld1to
"Puts, que caralho, chegou atrasado de novo",palavrao,caralho
"Essa semana, a vaga de estagio esta conseguida essa semana",normal,
"Voce e muito n0j3nt0, sabia?",insulto,n0j3nt0
Voce e um safado,insulto,safado
"Sinceramente, o time da faculdade esta bem no torneio",normal,
"Cacete, chegou atrasado de novo",palavrao,cacete
Nao pense que isso vai ficar assim,ameaca,
"Inferno, a internet caiu de novo",palavrao,inferno
"Puts, que foda-se, perdi o prazo da entrega",palavrao,foda-se
"Voce e muito covarde, sabia?",insulto,covarde
"Inferno, esqueci o carregador em casa",palavrao,inferno
"Pra falar a verdade, a corrida no parque esta otima pela manha",normal,
"Ontem percebi que o restaurante novo esta otimo, vamos almocar la",normal,
"Puts, que merda, o wifi cortou no meio da call",palavrao,merda
"Nao adianta se esconder, eu vou te achar",ameaca,
"No fim das contas, a receita nova esta tentada hoje na cozinha",normal,
"Que puta merda, caiu a energia no meio do jogo",palavrao,puta merda
"Voce e muito 1d10t4, sabia?",insulto,1d10t4
"O show de ontem esta incrivel, muita energia",normal,
"No fim das contas, o novo album da banda esta muito bom",normal,
